tahun,Banjir,Kekeringan
2008,429.9999999701977,198.0
2009,488.0000019967556,101.0
2010,1059.9999958574772,43.0
2011,572.9999979138374,219.0
2012,584.0000019967556,263.0
2013,725.0000009387732,66.0
2014,595.999998986721,7.0
2015,524.9999989718199,7.0
2016,824.0,
2017,979.0,19.0
2018,871.9999999999999,130.0
2019,783.9999999999999,123.0
2020,1519.8333333333348,26.0
2021,1795.3333333333321,15.0
2022,1532.0000000000002,4.0
2023,1251.0,174.00000000000003
2024,1420.000000000002,89.0
2025,1651.5,36.0
2026,333.0,5.0
